Capability L1,L1 Description/Definition,Capability L2,L2 Description/Definition,Capability L3,L3 Description/Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial & Accounting,"The Financial & Accounting capability aims to ensure sound financial resources management by the EP through: 
 * Budgetary Execution; 
 *Treasury & Accounting; 
 * Procurement management;  
 *Grants management; 
 * Asset management. ",Supplier Management,"The Supplier Management (SUM) capability aims to manage interactions between the IT
function and its suppliers. After the IT sourcing strategy has been defined and the suppliers have been selected, the
relationships with the suppliers have to be managed. Failure to manage these relationships
can result in adversarial interactions with the suppliers. Managing them effectively can result
in collaborative partnerships that reduce costs and risks, and create opportunities for joint
innovation and value creation [1].
By developing a Supplier Management (SUM) capability, an organization can have
an effective approach to supplier management in which individual behaviours and
organizational practices are fair, open, and honest, so that the business and operational
interests of both the organization and its suppliers mutually respect each other. Ultimately,
the organization can build trust and create an environment in which the organization and its
suppliers collaborate to their mutual benefit.",Order and Fulfilment Management,"Manage interactions with suppliers so as to facilitate procurement and service delivery e.g. 1 SOFTCLOUD is providing central software and Cloud procurement services; e.g.2. EQUILOG´s capability refers to ICT equipment & tele-communication services (e.g. individual equipment, servers, specialized equipment, telephony, SIM cards, mobile subscriptions, fiber optic, ADSL line, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial & Accounting,"The Financial & Accounting capability aims to ensure sound financial resources management by the EP through: 
 * Budgetary Execution; 
 *Treasury & Accounting; 
 * Procurement management;  
 *Grants management; 
 * Asset management. ",Supplier Management,"The Supplier Management (SUM) capability aims to manage interactions between the IT
function and its suppliers. After the IT sourcing strategy has been defined and the suppliers have been selected, the
relationships with the suppliers have to be managed. Failure to manage these relationships
can result in adversarial interactions with the suppliers. Managing them effectively can result
in collaborative partnerships that reduce costs and risks, and create opportunities for joint
innovation and value creation [1].
By developing a Supplier Management (SUM) capability, an organization can have
an effective approach to supplier management in which individual behaviours and
organizational practices are fair, open, and honest, so that the business and operational
interests of both the organization and its suppliers mutually respect each other. Ultimately,
the organization can build trust and create an environment in which the organization and its
suppliers collaborate to their mutual benefit.",Performance Management and Contract Compliance,Manage the obligations and responsibilities of both parties (as specified in the contract) to avoid or address incidents of non-compliance. Manage key performance indicators (KPIs) to inform decision-making in relation to supplier management.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial & Accounting,"The Financial & Accounting capability aims to ensure sound financial resources management by the EP through: 
 * Budgetary Execution; 
 *Treasury & Accounting; 
 * Procurement management;  
 *Grants management; 
 * Asset management. ",Supplier Management,"The Supplier Management (SUM) capability aims to manage interactions between the IT
function and its suppliers. After the IT sourcing strategy has been defined and the suppliers have been selected, the
relationships with the suppliers have to be managed. Failure to manage these relationships
can result in adversarial interactions with the suppliers. Managing them effectively can result
in collaborative partnerships that reduce costs and risks, and create opportunities for joint
innovation and value creation [1].
By developing a Supplier Management (SUM) capability, an organization can have
an effective approach to supplier management in which individual behaviours and
organizational practices are fair, open, and honest, so that the business and operational
interests of both the organization and its suppliers mutually respect each other. Ultimately,
the organization can build trust and create an environment in which the organization and its
suppliers collaborate to their mutual benefit.",Supplier Communications,"Plan, manage, and execute the exchange of information that may be useful to both the organization and the supplier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial & Accounting,"The Financial & Accounting capability aims to ensure sound financial resources management by the EP through: 
 * Budgetary Execution; 
 *Treasury & Accounting; 
 * Procurement management;  
 *Grants management; 
 * Asset management. ",Supplier Management,"The Supplier Management (SUM) capability aims to manage interactions between the IT
function and its suppliers. After the IT sourcing strategy has been defined and the suppliers have been selected, the
relationships with the suppliers have to be managed. Failure to manage these relationships
can result in adversarial interactions with the suppliers. Managing them effectively can result
in collaborative partnerships that reduce costs and risks, and create opportunities for joint
innovation and value creation [1].
By developing a Supplier Management (SUM) capability, an organization can have
an effective approach to supplier management in which individual behaviours and
organizational practices are fair, open, and honest, so that the business and operational
interests of both the organization and its suppliers mutually respect each other. Ultimately,
the organization can build trust and create an environment in which the organization and its
suppliers collaborate to their mutual benefit.",Supplier Innovation Management,"Work with suppliers to identify opportunities for co-innovation (for example, adapting processes and products/services, or co-investing in research and development).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial & Accounting,"The Financial & Accounting capability aims to ensure sound financial resources management by the EP through: 
 * Budgetary Execution; 
 *Treasury & Accounting; 
 * Procurement management;  
 *Grants management; 
 * Asset management. ",Supplier Management,"The Supplier Management (SUM) capability aims to manage interactions between the IT
function and its suppliers. After the IT sourcing strategy has been defined and the suppliers have been selected, the
relationships with the suppliers have to be managed. Failure to manage these relationships
can result in adversarial interactions with the suppliers. Managing them effectively can result
in collaborative partnerships that reduce costs and risks, and create opportunities for joint
innovation and value creation [1].
By developing a Supplier Management (SUM) capability, an organization can have
an effective approach to supplier management in which individual behaviours and
organizational practices are fair, open, and honest, so that the business and operational
interests of both the organization and its suppliers mutually respect each other. Ultimately,
the organization can build trust and create an environment in which the organization and its
suppliers collaborate to their mutual benefit.",Supplier Integration & Engagement,"It includes the following: 1. Supplier Relationships
Develop supplier engagement appropriate to supplier classification and foster long-term strategic relationships with preferred suppliers.
2. Supplier Communication and Governance
Ensure appropriate communication channels are in place to address problems as they arise. Plan, manage, and execute the exchange of information with appropriate governance and performance oversight structures.
3. Supplier Qualification
Establish suppliers on procurement systems and qualified supplier lists.                             4. Manage supplier qualification for the full range of IT products and services, including supplier phase-out in a controlled manner.
5. Service Transition
Support the introduction of new IT services or the migration of existing IT services between the IT supplier and the organization, considering all pertinent aspects (for example, staffing the project team, preparing technical interfaces, migrating data, security protocols, and defining access rights). e.g. 1. SOFTCLOUD provides decision making support to AOs and central teams (e.g. SSP team) on the possible procurement channels available for suppliers or for a specific business need in the domain of software/cloud products and services.; SOFTCLOUD provides operational contract management for inter-institutional software and cloud procurement contracts, facilitating communication between EP stakeholders and resellers, brokers (e.g. EC), suppliers, inter-institutional partners; e.g.2. EQUILOG´s capability refers to ICT equipment & tele-communication services (e.g. individual equipment, servers, specialized equipment, telephony, SIM cards, mobile subscriptions, fiber optic, ADSL line, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",Assurance & Internal Control,"Capability providing continuous assurance regarding risk identification, mitigating controls and monitoring within DG ITEC.",Assurance Legal Advisory," Provide advice and support to the Directorate-General and its entities on procurement procedures, contract execution, budgetary, legal and financial matters, access to documents, institutional liability, electronic signature regulations, IPR matters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",Assurance & Internal Control,"Capability providing continuous assurance regarding risk identification, mitigating controls and monitoring within DG ITEC.",Quality Control,"Act as a Single Point of Contact to ensure coherent dissemination of compliance requests by the EP authorities and bodies and Coordinate the activities of the DG.Coordinate, plan, monitor, review and report on the implementation and results of Audits activities and Internal Control (ICC).Support the improvement of DG ITEC’s implementation of the Minimal Internal Control Standards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",Assurance & Internal Control,"Capability providing continuous assurance regarding risk identification, mitigating controls and monitoring within DG ITEC.",Risk Mitigation," Act as a Single Point of Contact to ensure coherent dissemination of compliance requests by the EP authorities and bodies and Coordinate the activities of the DG.Coordinate, plan, monitor, review and report on the implementation and results of Audits activities and Internal Control (ICC).Support the improvement of DG ITEC’s implementation of the Minimal Internal Control Standards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",IT Governance,"The IT Governance (GOV) capability is the ability to evaluate, direct, and monitor the current and future use of an organisation's IT resources in support of strategic objectives.",Decision Bodies/Structure,"Establish organizational structures and roles (e.g. committees, executive teams, business/IT relationship managers) to guide and oversee the governance of IT, and promote behaviour that will lead to the achievement of business goals. Define their composition and scope and set out protocols for coherence and escalation across governance bodies and business organizational units.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",IT Governance,"The IT Governance (GOV) capability is the ability to evaluate, direct, and monitor the current and future use of an organisation's IT resources in support of strategic objectives.",Decision Rights,"Determine what major IT domain decisions need to be made. Define the decision-making boundaries for each decision type, including the inputs and decision rights of different stakeholders, and the rules and procedures for making and monitoring those decisions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",IT Governance,"The IT Governance (GOV) capability is the ability to evaluate, direct, and monitor the current and future use of an organisation's IT resources in support of strategic objectives.",Direct,Define how the organization should be supported and enabled through the appropriate use of IT. Direct the preparation of strategies and policies. Determine readiness for change and approve an appropriate programme of change activities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",IT Governance,"The IT Governance (GOV) capability is the ability to evaluate, direct, and monitor the current and future use of an organisation's IT resources in support of strategic objectives.",Evaluate, Examine and assess the organization's internal and external environments. Determine how the organization is currently supported and enabled through the use of IT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",IT Governance,"The IT Governance (GOV) capability is the ability to evaluate, direct, and monitor the current and future use of an organisation's IT resources in support of strategic objectives.",Governance Context,Define the role of IT governance within the organization's overall corporate governance; and specify the roles and interfaces between IT and business management and the organization's ultimate governing body (e.g. the board).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",IT Governance,"The IT Governance (GOV) capability is the ability to evaluate, direct, and monitor the current and future use of an organisation's IT resources in support of strategic objectives.",Guiding Principles,Adopt a set of principles for good governance of IT that define preferred behaviour within the organization to guide decision-making and the organization's governance mechanisms for IT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",IT Governance,"The IT Governance (GOV) capability is the ability to evaluate, direct, and monitor the current and future use of an organisation's IT resources in support of strategic objectives.",Monitor,"Identify evidence of success to measure achievement of desired outcomes. Establish an effective monitoring system that collects and analyses data, and reports progress against plans to the governing body. Instigate mechanisms to monitor compliance with relevant legislation, regulations, and organizational policies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,"The Governance capability is the ability to set up and maintain a coherent and consistent organisational governance across all levels, ensuring better control through the management of risks and compliance obligations. ",IT Governance,"The IT Governance (GOV) capability is the ability to evaluate, direct, and monitor the current and future use of an organisation's IT resources in support of strategic objectives.",Roles and Accountabilities,"Define roles and responsibilities, and delegate authority and accountability for aspects of the governance of IT. Establish mechanisms to hold such individuals or groups accountable for decisions, actions, and performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Culture and Satisfaction,"Contribute to the definition and management of DG ITEC’s organisational culture, by monitoring employee job satisfaction and motivation, and by proposing and implementing transparent, inclusive and modern HR practices. 
 
On the level of outreach and communication, clear messaging has been developed and consistently applied to correctly iterate ITEC’s employer value proposition/convey key aspects of ITEC’s organisational culture. More work is needed on the employee satisfaction and motivation surveying front. HR team is flexible, agile and actively developing/embracing modern HR practices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Development,"Manage training and education programmes, developmental job assignments, mentoring,
and coaching. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Gap Analysis,Identifying competency gaps and recruiting staff to ensure business continuity of support operations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,HR Analytics and Reporting,"Regular analysis and reporting on different aspects concerning staff, posts and other related topics, in order to support continuous improvement, data-driven adjustments and evidence-based decision-making.
 
ITEC systematically collects HR data for its external reporting purposes as well as internal needs of supporting decision making in multiple contexts. Efforts are being made to see how AI tools can be deployed to further support this goal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,HR Strategy Planning,"Define a staff sourcing strategy aligned both with DG’s purpose, values and strategic objectives, and with the specific needs of different units or services. Performing gap analysis to identify critical skill gaps, anticipate future staff needs, and develop targeted recruitment and development strategies to bridge those gaps, so that the services continuity and their best possible operation to be ensured.  
 
HR part of sourcing strategy is well-developed, resting on the assumption of the insufficiency of the current mainstream talent databases (EPSO, CAST P), thus actively working with all internal actors (DG PERS, SG HR team) in order to develop alternative talent sources via calls for expressions of interest, competitions and selection procedures organised by Parliament etc. Intensified outreach activities, both regular and ad hoc, further facilitate this objective.
 
Free texts of published vacancies are regularly updated and reviewed to help attract the right candidates and enhance the institution's appeal as an employer. ITEC job profiles are also regularly reviewed, so that they accurately reflect the current duties, responsibilities, and qualifications required for each role, and keeping them aligned with the organisation's strategic objectives and IT industry tendencies.  
 
Regular dialogue on HR matters is carried on all hierarchical levels. HR team handles individual staff contacts and queries, while general communication on HR matters is done in close conjunction with CUSTEX Unit’s communication team. Dialogue and consultation with staff on HR matters should be further developed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Onboarding (Deployment)," Manage IT employee deployment into specific roles.
 
 
DIRES/HR manages ITEC employee deployment and onboarding into specific roles.
Onboarding include specific procedures and activities meant to facilitate the integration of new staff, such as the Buddy programme, the mentoring programme for new managers, as well as the GBI procedures. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Performance Evaluation,"Define and manage the performance evaluation approach, by organising erapnot process, senior AST procedures, certification, etc.
 
HR team supports the erapnot in all of its organisational aspects, and supports individual managers in their work related to the process. Further efforts are needed to further streamline erapnot process to ensure its objectivity, transparency and adequate level of communication to staff (both individually and in general).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Professional Development Support,"This capability includes offering career guidance (RELOP) and internal coaching, managing knowledge transfer to ensure regular feedback and support succession planning, ensuring uniform and proper handover procedures to prevent knowledge loss in the event of employees leaving/supporting new colleagues taking over these roles. 
 
HR team supports colleagues undergoing certification and ensure ITEC’s input to the certification process, as well as procedurally supports the process of selecting senior ASTs. DG ITEC boasts the highest numbers of RELOP advise seekers amongst all DGs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Recruitment,"Manage the sourcing and selection of DG ITEC staff, the stages of recruitment and onboarding processes. 
 
Recruitment capabilities include researching multiple sources (EPSO, CAST P, GESTMAX including ITEC cyber call for expression of interest database and spontaneous candidacies) and implementing specific selection programmes (calls for expression of interest, internalisation and internal programmes such as SRDP), as well as preparing vacancies publication, organising, conducting interviews and evaluating candidates, and collaborating with further stakeholders during the recruitment process (COPAR and COSCON joint committees,  DG PERS,  SG HR team). Planning, negotiating and implementing ringbook staff moves to facilitate intra- and inter-DG staff moves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Refining HR Practices,"Introducing measures and special projects to continuously improve HR practices by making the processes more efficient, transparent and inclusive.
 
HR is implementing a series of initiatives to streamline the current HR practices including developing a catalogue of free texts for ITEC job profiles as well as the bank of interview questions for competency-based interviewing. Further initiatives foreseen comprise activation of a new recruitment workflow in order to render the decision-making process quicker and more transparent. HR team is actively participating in various working groups and task forces aimed at streamlining current HR practices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",People Asset Management,The People Asset Management capability is the ability to meet the organization's requirements for an effective workforce.,Succession Planning,Define and implement a succession plan to identify and develop employees capable of filling key organizational positions and maintain continuity. Manage knowledge transfer to support succession planning and prevent knowledge loss in the event of employees leaving.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",User Training Management,"The User Training Management (UTM) capability aims to ensure that users acquire the skills
they need to use business applications and other IT-supported services effectively.",Delivery Methods,"Ability to identify and apply the training delivery methods that are most likely to achieve the desired levels of user proficiency (for example, face-to-face learning, web-based learning, self-paced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",User Training Management,"The User Training Management (UTM) capability aims to ensure that users acquire the skills
they need to use business applications and other IT-supported services effectively.",Impact of Training and User Proficiency and Productivity,Ability to evaluate the impact of training on user proficiency and productivity levels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",User Training Management,"The User Training Management (UTM) capability aims to ensure that users acquire the skills
they need to use business applications and other IT-supported services effectively.",Training Material Development,Ability to adopt a methodology for developing training content that will meet the requirements of the users and fit the training delivery methods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,"The Human Capital capability covers the full HR lifecycle for EP staff: recruitment, trainings, career, pay & pensions and working conditions.",User Training Management,"The User Training Management (UTM) capability aims to ensure that users acquire the skills
they need to use business applications and other IT-supported services effectively.",Training Resources Management,"Ability to Identify resources, including people, processes, and systems that are necessary to meet current and future training requirements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Benefits Realization,"The Benefits Assessment and Realization capability aims to forecast, crystalize, and sustain the business benefits arising from IT-enabled change initiatives.","Benefits Planning ","Identify, map, and communicate the interdependent outcomes that may affect the business benefits arising from IT-enabled change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Benefits Realization,"The Benefits Assessment and Realization capability aims to forecast, crystalize, and sustain the business benefits arising from IT-enabled change initiatives.",BR Communication,"Communicate the messages needed, and elicit and respond to feedback in order to secure commitment to the benefits realization effort.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Benefits Realization,"The Benefits Assessment and Realization capability aims to forecast, crystalize, and sustain the business benefits arising from IT-enabled change initiatives.",Business Case Role,Use the business case as an aid to management decision-making throughout the investment life cycle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Benefits Realization,"The Benefits Assessment and Realization capability aims to forecast, crystalize, and sustain the business benefits arising from IT-enabled change initiatives.","Practice Evolution, Innovation, and Sharing",Encourage the adoption and development of benefits management practices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Benefits Realization,"The Benefits Assessment and Realization capability aims to forecast, crystalize, and sustain the business benefits arising from IT-enabled change initiatives.",Relevant Metrics,Define and apply metrics that facilitate management oversight of benefits throughout the investment life cycle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Benefits Realization,"The Benefits Assessment and Realization capability aims to forecast, crystalize, and sustain the business benefits arising from IT-enabled change initiatives.",Stakeholder Engagement,Identify and engage relevant stakeholders to achieve the changes necessary for benefits realization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Process Architecture,"Document the organization’s process architecture, using consistent terminology, precise definition of objectives, roles, flows, and relationships, and agreed protocols for process naming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Process Automation,"Use technologies to simulate, integrate, operationalize, and monitor business processes. e.g.1: HOSTGROW is in charge of automating deployments and updates;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Process Governance,"Establish a governance structure for the processes being addressed. This might cover process ownership, decision rights, and measures to evaluate progress against process objectives.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Process Improvement,"Identify and use available methodologies for evaluating, redesigning, and improving how the organization works towards its desired outcomes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Scope of Implementation,"Establish the breadth of processes to be managed. This is guided by the organizational context – for example, by the structure, strategies, priorities, and culture of the organization. e.g.1: HOSTGROW is in charge to Elaborate, refine and maintain processes related to hosting. Ensure continuous improvement for enhancing maturity and customer satisfaction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Stakeholder Management,"Generate understanding, motivation, and commitment to process management. This may include communication about process management approaches, success stories, lessons learned, potential value opportunities, and value realized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Standards and Methods,"Establish a set of standards and methods for managing processes. These could include modelling standards, process notations, definitions of terminology to be used, improvement methods, process governance structures, and measures for determining value and the effectiveness of implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Support Organisation and Personnel,"Establish the structure, competences, roles, responsibilities, and resource levels to support process improvement activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
","Business Process Management ","The Business Process Management capability helps create an understanding of business activity flows so that they can be more readily understood and developed, and so that errors can be reduced and risks mitigated.",Technologies,"Identify and implement technologies for documenting, organizing, and evaluating process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
